Date,Time,Employee
20/09/2017,15:44,0000792042
20/09/2017,22:03,0000792042
21/09/2017,07:06,0000792042
21/09/2017,11:38,0000792042
21/09/2017,13:04,0000792042
21/09/2017,15:34,0000792042
21/09/2017,15:49,0000792042
21/09/2017,17:21,0000792042
22/09/2017,07:07,0000792042
22/09/2017,11:37,0000792042
22/09/2017,13:09,0000792042
22/09/2017,15:33,0000792042
22/09/2017,15:46,0000792042
22/09/2017,17:24,0000792042
25/09/2017,07:08,0000792042
25/09/2017,11:34,0000792042
25/09/2017,13:07,0000792042
25/09/2017,15:34,0000792042
25/09/2017,15:49,0000792042
25/09/2017,17:31,0000792042
26/09/2017,07:07,0000792042
26/09/2017,11:35,0000792042
26/09/2017,13:09,0000792042
26/09/2017,15:35,0000792042
26/09/2017,15:48,0000792042
26/09/2017,19:21,0000792042
01/09/2017,06:55,0000792046
01/09/2017,11:16,0000792046
01/09/2017,12:44,0000792046
01/09/2017,15:53,0000792046
01/09/2017,16:10,0000792046
01/09/2017,17:34,0000792046
02/09/2017,10:16,0000792046
02/09/2017,17:11,0000792046
04/09/2017,06:54,0000792046
04/09/2017,11:03,0000792046
04/09/2017,12:38,0000792046
04/09/2017,15:52,0000792046
04/09/2017,16:13,0000792046
04/09/2017,17:33,0000792046
05/09/2017,07:10,0000792046
05/09/2017,11:05,0000792046
05/09/2017,12:37,0000792046
05/09/2017,15:56,0000792046
05/09/2017,16:17,0000792046
05/09/2017,17:33,0000792046
06/09/2017,07:05,0000792046
06/09/2017,11:10,0000792046
06/09/2017,12:44,0000792046
06/09/2017,15:57,0000792046
06/09/2017,16:18,0000792046
06/09/2017,18:02,0000792046
08/09/2017,06:58,0000792046
08/09/2017,11:02,0000792046
08/09/2017,12:40,0000792046
08/09/2017,17:38,0000792046
09/09/2017,10:46,0000792046
09/09/2017,17:18,0000792046
11/09/2017,06:56,0000792046
11/09/2017,11:06,0000792046
11/09/2017,12:45,0000792046
11/09/2017,15:50,0000792046
11/09/2017,16:11,0000792046
11/09/2017,17:44,0000792046
12/09/2017,06:59,0000792046
12/09/2017,11:04,0000792046
12/09/2017,12:46,0000792046
12/09/2017,16:12,0000792046
12/09/2017,17:16,0000792046
13/09/2017,07:07,0000792046
13/09/2017,11:08,0000792046
13/09/2017,12:44,0000792046
